Id,invoice_date,product,price_per_unit,units_sold,total_sales,operating_profit,operating_margin
1,01/01/2020,Men's Street Footwear,50.00 ,1200,"6,00,000 ","3,00,000 ",50%
2,02/01/2020,Men's Athletic Footwear,50.00 ,1000,"5,00,000 ","1,50,000 ",30%
3,03/01/2020,Women's Street Footwear,40.00 ,1000,"4,00,000 ","1,40,000 ",35%
4,04/01/2020,Women's Athletic Footwear,45.00 ,850,"3,82,500 ","1,33,875 ",35%
5,05/01/2020,Men's Apparel,60.00 ,900,"5,40,000 ","1,62,000 ",30%
6,06/01/2020,Women's Apparel,50.00 ,1000,"5,00,000 ","1,25,000 ",25%
7,07/01/2020,Men's Street Footwear,50.00 ,1250,"6,25,000 ","3,12,500 ",50%
8,08/01/2020,Men's Athletic Footwear,50.00 ,900,"4,50,000 ","1,35,000 ",30%
9,21/01/2020,Women's Street Footwear,40.00 ,950,"3,80,000 ","1,33,000 ",35%
10,22/01/2020,Women's Athletic Footwear,45.00 ,825,"3,71,250 ","1,29,938 ",35%
11,23/01/2020,Men's Apparel,60.00 ,900,"5,40,000 ","1,62,000 ",30%
12,24/01/2020,Women's Apparel,50.00 ,1000,"5,00,000 ","1,25,000 ",25%
13,25/01/2020,Men's Street Footwear,50.00 ,1220,"6,10,000 ","3,05,000 ",50%
14,26/01/2020,Men's Athletic Footwear,50.00 ,925,"4,62,500 ","1,38,750 ",30%
15,27/01/2020,Women's Street Footwear,40.00 ,950,"3,80,000 ","1,33,000 ",35%
16,28/01/2020,Women's Athletic Footwear,45.00 ,800,"3,60,000 ","1,26,000 ",35%
17,29/01/2020,Men's Apparel,60.00 ,850,"5,10,000 ","1,53,000 ",30%
18,30/01/2020,Women's Apparel,50.00 ,950,"4,75,000 ","1,18,750 ",25%
19,31/01/2020,Men's Street Footwear,50.00 ,1200,"6,00,000 ","3,00,000 ",50%
20,01/02/2020,Men's Athletic Footwear,50.00 ,900,"4,50,000 ","1,35,000 ",30%
21,02/02/2020,Women's Street Footwear,40.00 ,900,"3,60,000 ","1,26,000 ",35%
22,03/02/2020,Women's Athletic Footwear,45.00 ,825,"3,71,250 ","1,29,938 ",35%
23,04/02/2020,Men's Apparel,60.00 ,825,"4,95,000 ","1,48,500 ",30%
24,05/02/2020,Women's Apparel,50.00 ,950,"4,75,000 ","1,18,750 ",25%
25,06/02/2020,Men's Street Footwear,60.00 ,1220,"7,32,000 ","3,66,000 ",50%
26,07/02/2020,Men's Athletic Footwear,55.00 ,925,"5,08,750 ","1,52,625 ",30%
27,08/02/2020,Women's Street Footwear,50.00 ,900,"4,50,000 ","1,57,500 ",35%
28,09/02/2020,Women's Athletic Footwear,50.00 ,850,"4,25,000 ","1,48,750 ",35%
29,10/02/2020,Men's Apparel,60.00 ,875,"5,25,000 ","1,57,500 ",30%
30,03/03/2020,Women's Apparel,65.00 ,1000,"6,50,000 ","1,62,500 ",25%
31,04/03/2020,Men's Street Footwear,60.00 ,1250,"7,50,000 ","3,75,000 ",50%
32,05/03/2020,Men's Athletic Footwear,55.00 ,1000,"5,50,000 ","1,65,000 ",30%
33,06/03/2020,Women's Street Footwear,50.00 ,925,"4,62,500 ","1,61,875 ",35%
34,07/03/2020,Women's Athletic Footwear,50.00 ,900,"4,50,000 ","1,57,500 ",35%
35,08/03/2020,Men's Apparel,60.00 ,900,"5,40,000 ","1,62,000 ",30%
36,09/03/2020,Women's Apparel,65.00 ,1050,"6,82,500 ","1,70,625 ",25%
37,10/03/2020,Men's Street Footwear,60.00 ,1275,"7,65,000 ","3,82,500 ",50%
38,11/03/2020,Men's Athletic Footwear,55.00 ,1025,"5,63,750 ","1,69,125 ",30%
39,12/03/2020,Women's Street Footwear,50.00 ,950,"4,75,000 ","1,66,250 ",35%
40,13/03/2020,Women's Athletic Footwear,50.00 ,900,"4,50,000 ","1,57,500 ",35%
41,14/03/2020,Men's Apparel,60.00 ,925,"5,55,000 ","1,66,500 ",30%
42,15/03/2020,Women's Apparel,65.00 ,1100,"7,15,000 ","1,78,750 ",25%
43,16/03/2020,Men's Street Footwear,60.00 ,1250,"7,50,000 ","3,75,000 ",50%
44,17/03/2020,Men's Athletic Footwear,55.00 ,1025,"5,63,750 ","1,69,125 ",30%
